timestamp,px,py,pz,qx,qy,qz,qw
1735875454.5574384,0.0,0.9979583024978638,0.0,0.0,0.0,0.0,1.0
1735875454.5730639,0.0,0.9931944608688354,0.0,0.0,0.0,0.0,1.0
1735875454.588925,0.0,0.9857083559036255,0.0,0.0,0.0,0.0,1.0
1735875454.6046493,0.0,0.9754999876022339,0.0,0.0,0.0,0.0,1.0
1735875454.6204634,0.0,0.9625694751739502,0.0,0.0,0.0,0.0,1.0
1735875454.6363008,0.0,0.9469166994094849,0.0,0.0,0.0,0.0,1.0
1735875454.652128,0.0,0.9285416603088379,0.0,0.0,0.0,0.0,1.0
1735875454.6680076,0.0,0.9074444770812988,0.0,0.0,0.0,0.0,1.0
1735875454.6838171,0.0,0.8836250305175781,0.0,0.0,0.0,0.0,1.0
1735875454.6996255,0.0,0.8570833206176758,0.0,0.0,0.0,0.0,1.0
1735875454.7154253,0.0,0.8278194665908813,0.0,0.0,0.0,0.0,1.0
1735875454.731267,0.0,0.7958333492279053,0.0,0.0,0.0,0.0,1.0
1735875454.747069,0.0,0.7611249685287476,0.0,0.0,0.0,0.0,1.0
1735875454.7630937,0.0,0.7236944437026978,0.0,0.0,0.0,0.0,1.0
1735875454.778941,0.0,0.6835416555404663,0.0,0.0,0.0,0.0,1.0
1735875454.7947786,0.0,0.6406666040420532,0.0,0.0,0.0,0.0,1.0
1735875454.810616,0.0,0.595069408416748,0.0,0.0,0.0,0.0,1.0
1735875454.8264234,0.0,0.5467499494552612,0.0,0.0,0.0,0.0,1.0
1735875454.842233,0.0,0.49570825695991516,0.0,0.0,0.0,0.0,1.0
1735875454.8581004,0.0,0.4419443607330322,0.0,0.0,0.0,0.0,1.0
1735875454.8739126,0.0,0.38545823097229004,0.0,0.0,0.0,0.0,1.0
1735875454.8898196,0.0,0.3262498676776886,0.0,0.0,0.0,0.0,1.0
1735875454.9056177,0.0,0.2643193006515503,0.0,0.0,0.0,0.0,1.0
1735875454.9214382,0.0,0.19966650009155273,0.0,0.0,0.0,0.0,1.0
1735875454.937266,0.0,0.13229148089885712,0.0,0.0,0.0,0.0,1.0
1735875454.9530678,0.0,0.06219423934817314,0.0,0.0,0.0,0.0,1.0
1735875454.9690242,0.0,-0.010625213384628296,0.0,0.0,0.0,0.0,1.0
1735875454.9848757,0.0,-0.08616688847541809,0.0,0.0,0.0,0.0,1.0
1735875455.0007517,0.0,-0.16443078219890594,0.0,0.0,0.0,0.0,1.0
1735875455.0165672,0.0,-0.24541687965393066,0.0,0.0,0.0,0.0,1.0
1735875455.0323908,0.0,-0.32912519574165344,0.0,0.0,0.0,0.0,1.0
1735875455.0482225,0.0,-0.4155557155609131,0.0,0.0,0.0,0.0,1.0
1735875455.0640342,0.0,-0.504708468914032,0.0,0.0,0.0,0.0,1.0
1735875455.0798893,0.0,-0.5965834259986877,0.0,0.0,0.0,0.0,1.0
1735875455.0956984,0.0,-0.6911806464195251,0.0,0.0,0.0,0.0,1.0
1735875455.1115942,0.0,-0.7885000109672546,0.0,0.0,0.0,0.0,1.0
1735875455.12744,0.0,-0.8885416388511658,0.0,0.0,0.0,0.0,1.0
1735875455.1432793,0.0,-0.9913054704666138,0.0,0.0,0.0,0.0,1.0
1735875455.1591494,0.0,-1.0967915058135986,0.0,0.0,0.0,0.0,1.0
1735875455.175217,0.0,-1.2049998044967651,0.0,0.0,0.0,0.0,1.0
1735875455.1910002,0.0,-1.3159303665161133,0.0,0.0,0.0,0.0,1.0
1735875455.2068272,0.0,-1.4295830726623535,0.0,0.0,0.0,0.0,1.0
1735875455.2227304,0.0,-1.5459579229354858,0.0,0.0,0.0,0.0,1.0
1735875455.2385423,0.0,-1.6650550365447998,0.0,0.0,0.0,0.0,1.0
1735875455.2543478,0.0,-1.7868744134902954,0.0,0.0,0.0,0.0,1.0
1735875455.2701762,0.0,-1.9114160537719727,0.0,0.0,0.0,0.0,1.0
1735875455.2860081,0.0,-2.038679838180542,0.0,0.0,0.0,0.0,1.0
1735875455.301864,0.0,-2.168665885925293,0.0,0.0,0.0,0.0,1.0
1735875455.3176987,0.0,-2.3013739585876465,0.0,0.0,0.0,0.0,1.0
1735875455.3336155,0.0,-2.4368042945861816,0.0,0.0,0.0,0.0,1.0
1735875455.3494387,0.0,-2.5749568939208984,0.0,0.0,0.0,0.0,1.0
1735875455.3652954,0.0,-2.715831756591797,0.0,0.0,0.0,0.0,1.0
1735875455.3812792,0.0,-2.859428882598877,0.0,0.0,0.0,0.0,1.0
1735875455.3971229,0.0,-3.0057482719421387,0.0,0.0,0.0,0.0,1.0
1735875455.4130046,0.0,-3.154789924621582,0.0,0.0,0.0,0.0,1.0
1735875455.4288065,0.0,-3.306553840637207,0.0,0.0,0.0,0.0,1.0
1735875455.4447243,0.0,-3.4610400199890137,0.0,0.0,0.0,0.0,1.0
1735875455.460505,0.0,-3.618248224258423,0.0,0.0,0.0,0.0,1.0
1735875455.4763749,0.0,-3.7781786918640137,0.0,0.0,0.0,0.0,1.0
1735875455.49214,0.0,-3.940831422805786,0.0,0.0,0.0,0.0,1.0
1735875455.5080059,0.0,-4.10620641708374,0.0,0.0,0.0,0.0,1.0
1735875455.523846,0.0,-4.274303436279297,0.0,0.0,0.0,0.0,1.0
1735875455.5396729,0.0,-4.445123195648193,0.0,0.0,0.0,0.0,1.0
1735875455.5556006,0.0,-4.618664741516113,0.0,0.0,0.0,0.0,1.0
1735875455.57142,0.0,-4.794928550720215,0.0,0.0,0.0,0.0,1.0
1735875455.5875254,0.0,-4.973914623260498,0.0,0.0,0.0,0.0,1.0
1735875455.6033328,0.0,-5.155622959136963,0.0,0.0,0.0,0.0,1.0
1735875455.6191595,0.0,-5.340053558349609,0.0,0.0,0.0,0.0,1.0
1735875455.634988,0.0,-5.5272064208984375,0.0,0.0,0.0,0.0,1.0
1735875455.6507843,0.0,-5.717081546783447,0.0,0.0,0.0,0.0,1.0
1735875455.6667397,0.0,-5.909678936004639,0.0,0.0,0.0,0.0,1.0
1735875455.682547,0.0,-6.104998588562012,0.0,0.0,0.0,0.0,1.0
1735875455.6983662,0.0,-6.303040027618408,0.0,0.0,0.0,0.0,1.0
1735875455.7141638,0.0,-6.5038042068481445,0.0,0.0,0.0,0.0,1.0
1735875455.7300005,0.0,-6.707290172576904,0.0,0.0,0.0,0.0,1.0
1735875455.7458189,0.0,-6.913498878479004,0.0,0.0,0.0,0.0,1.0
1735875455.7616532,0.0,-7.122429370880127,0.0,0.0,0.0,0.0,1.0
1735875455.777564,0.0,-7.33408260345459,0.0,0.0,0.0,0.0,1.0
1735875455.793604,0.0,-7.548457622528076,0.0,0.0,0.0,0.0,1.0
1735875455.8094237,0.0,-7.765554904937744,0.0,0.0,0.0,0.0,1.0
1735875455.8252473,0.0,-7.985374450683594,0.0,0.0,0.0,0.0,1.0
1735875455.8410864,0.0,-8.207916259765625,0.0,0.0,0.0,0.0,1.0
1735875455.856937,0.0,-8.43317985534668,0.0,0.0,0.0,0.0,1.0
